Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
EL,"(33.07692307692308, 127.38461538461539)","(33.34615384615385, 127.6923076923077)"
EM,"(33.07692307692308, 127.6923076923077)","(33.34615384615385, 128.0)"
EN,"(33.07692307692308, 128.0)","(33.34615384615385, 128.30769230769232)"
EO,"(33.07692307692308, 128.30769230769232)","(33.34615384615385, 128.6153846153846)"
EP,"(33.07692307692308, 128.6153846153846)","(33.34615384615385, 128.92307692307693)"
EQ,"(33.07692307692308, 128.92307692307693)","(33.34615384615385, 129.23076923076923)"
ER,"(33.07692307692308, 129.23076923076923)","(33.34615384615385, 129.53846153846155)"
ES,"(33.07692307692308, 129.53846153846155)","(33.34615384615385, 129.84615384615384)"
ET,"(33.07692307692308, 129.84615384615384)","(33.34615384615385, 130.15384615384616)"
EU,"(33.07692307692308, 130.15384615384616)","(33.34615384615385, 130.46153846153845)"
EV,"(33.07692307692308, 130.46153846153845)","(33.34615384615385, 130.76923076923077)"
EW,"(33.07692307692308, 130.76923076923077)","(33.34615384615385, 131.07692307692307)"
EX,"(33.07692307692308, 131.07692307692307)","(33.34615384615385, 131.3846153846154)"
EY,"(33.07692307692308, 131.3846153846154)","(33.34615384615385, 131.69230769230768)"
EZ,"(33.07692307692308, 131.69230769230768)","(33.34615384615385, 132.0)"
FA,"(33.34615384615385, 124.0)","(33.61538461538461, 124.3076923076923)"
FB,"(33.34615384615385, 124.3076923076923)","(33.61538461538461, 124.61538461538461)"
FC,"(33.34615384615385, 124.61538461538461)","(33.61538461538461, 124.92307692307692)"
FD,"(33.34615384615385, 124.92307692307692)","(33.61538461538461, 125.23076923076923)"
FE,"(33.34615384615385, 125.23076923076923)","(33.61538461538461, 125.53846153846153)"
FF,"(33.34615384615385, 125.53846153846153)","(33.61538461538461, 125.84615384615384)"
FG,"(33.34615384615385, 125.84615384615384)","(33.61538461538461, 126.15384615384616)"
FH,"(33.34615384615385, 126.15384615384616)","(33.61538461538461, 126.46153846153847)"
FI,"(33.34615384615385, 126.46153846153847)","(33.61538461538461, 126.76923076923077)"
FJ,"(33.34615384615385, 126.76923076923077)","(33.61538461538461, 127.07692307692308)"
FK,"(33.34615384615385, 127.07692307692308)","(33.61538461538461, 127.38461538461539)"
FL,"(33.34615384615385, 127.38461538461539)","(33.61538461538461, 127.6923076923077)"
FM,"(33.34615384615385, 127.6923076923077)","(33.61538461538461, 128.0)"
FN,"(33.34615384615385, 128.0)","(33.61538461538461, 128.30769230769232)"
FO,"(33.34615384615385, 128.30769230769232)","(33.61538461538461, 128.6153846153846)"
FP,"(33.34615384615385, 128.6153846153846)","(33.61538461538461, 128.92307692307693)"
FQ,"(33.34615384615385, 128.92307692307693)","(33.61538461538461, 129.23076923076923)"
FR,"(33.34615384615385, 129.23076923076923)","(33.61538461538461, 129.53846153846155)"
FS,"(33.34615384615385, 129.53846153846155)","(33.61538461538461, 129.84615384615384)"
FT,"(33.34615384615385, 129.84615384615384)","(33.61538461538461, 130.15384615384616)"
FU,"(33.34615384615385, 130.15384615384616)","(33.61538461538461, 130.46153846153845)"
FV,"(33.34615384615385, 130.46153846153845)","(33.61538461538461, 130.76923076923077)"
FW,"(33.34615384615385, 130.76923076923077)","(33.61538461538461, 131.07692307692307)"
FX,"(33.34615384615385, 131.07692307692307)","(33.61538461538461, 131.3846153846154)"
FY,"(33.34615384615385, 131.3846153846154)","(33.61538461538461, 131.69230769230768)"
FZ,"(33.34615384615385, 131.69230769230768)","(33.61538461538461, 132.0)"
GA,"(33.61538461538461, 124.0)","(33.88461538461539, 124.3076923076923)"
GB,"(33.61538461538461, 124.3076923076923)","(33.88461538461539, 124.61538461538461)"
GC,"(33.61538461538461, 124.61538461538461)","(33.88461538461539, 124.92307692307692)"
GD,"(33.61538461538461, 124.92307692307692)","(33.88461538461539, 125.23076923076923)"
GE,"(33.61538461538461, 125.23076923076923)","(33.88461538461539, 125.53846153846153)"
GF,"(33.61538461538461, 125.53846153846153)","(33.88461538461539, 125.84615384615384)"
GG,"(33.61538461538461, 125.84615384615384)","(33.88461538461539, 126.15384615384616)"
GH,"(33.61538461538461, 126.15384615384616)","(33.88461538461539, 126.46153846153847)"
GI,"(33.61538461538461, 126.46153846153847)","(33.88461538461539, 126.76923076923077)"
GJ,"(33.61538461538461, 126.76923076923077)","(33.88461538461539, 127.07692307692308)"
GK,"(33.61538461538461, 127.07692307692308)","(33.88461538461539, 127.38461538461539)"
GL,"(33.61538461538461, 127.38461538461539)","(33.88461538461539, 127.6923076923077)"
GM,"(33.61538461538461, 127.6923076923077)","(33.88461538461539, 128.0)"
GN,"(33.61538461538461, 128.0)","(33.88461538461539, 128.30769230769232)"
GO,"(33.61538461538461, 128.30769230769232)","(33.88461538461539, 128.6153846153846)"
GP,"(33.61538461538461, 128.6153846153846)","(33.88461538461539, 128.92307692307693)"
GQ,"(33.61538461538461, 128.92307692307693)","(33.88461538461539, 129.23076923076923)"
GR,"(33.61538461538461, 129.23076923076923)","(33.88461538461539, 129.53846153846155)"
GS,"(33.61538461538461, 129.53846153846155)","(33.88461538461539, 129.84615384615384)"
GT,"(33.61538461538461, 129.84615384615384)","(33.88461538461539, 130.15384615384616)"
GU,"(33.61538461538461, 130.15384615384616)","(33.88461538461539, 130.46153846153845)"
GV,"(33.61538461538461, 130.46153846153845)","(33.88461538461539, 130.76923076923077)"
GW,"(33.61538461538461, 130.76923076923077)","(33.88461538461539, 131.07692307692307)"
GX,"(33.61538461538461, 131.07692307692307)","(33.88461538461539, 131.3846153846154)"
GY,"(33.61538461538461, 131.3846153846154)","(33.88461538461539, 131.69230769230768)"
GZ,"(33.61538461538461, 131.69230769230768)","(33.88461538461539, 132.0)"
HA,"(33.88461538461539, 124.0)","(34.15384615384615, 124.3076923076923)"
HB,"(33.88461538461539, 124.3076923076923)","(34.15384615384615, 124.61538461538461)"
HC,"(33.88461538461539, 124.61538461538461)","(34.15384615384615, 124.92307692307692)"
HD,"(33.88461538461539, 124.92307692307692)","(34.15384615384615, 125.23076923076923)"
HE,"(33.88461538461539, 125.23076923076923)","(34.15384615384615, 125.53846153846153)"
HF,"(33.88461538461539, 125.53846153846153)","(34.15384615384615, 125.84615384615384)"
HG,"(33.88461538461539, 125.84615384615384)","(34.15384615384615, 126.15384615384616)"
HH,"(33.88461538461539, 126.15384615384616)","(34.15384615384615, 126.46153846153847)"
HI,"(33.88461538461539, 126.46153846153847)","(34.15384615384615, 126.76923076923077)"
HJ,"(33.88461538461539, 126.76923076923077)","(34.15384615384615, 127.07692307692308)"
HK,"(33.88461538461539, 127.07692307692308)","(34.15384615384615, 127.38461538461539)"
HL,"(33.88461538461539, 127.38461538461539)","(34.15384615384615, 127.6923076923077)"
HM,"(33.88461538461539, 127.6923076923077)","(34.15384615384615, 128.0)"
HN,"(33.88461538461539, 128.0)","(34.15384615384615, 128.30769230769232)"
HO,"(33.88461538461539, 128.30769230769232)","(34.15384615384615, 128.6153846153846)"
HP,"(33.88461538461539, 128.6153846153846)","(34.15384615384615, 128.92307692307693)"
HQ,"(33.88461538461539, 128.92307692307693)","(34.15384615384615, 129.23076923076923)"
HR,"(33.88461538461539, 129.23076923076923)","(34.15384615384615, 129.53846153846155)"
HS,"(33.88461538461539, 129.53846153846155)","(34.15384615384615, 129.84615384615384)"
HT,"(33.88461538461539, 129.84615384615384)","(34.15384615384615, 130.15384615384616)"
HU,"(33.88461538461539, 130.15384615384616)","(34.15384615384615, 130.46153846153845)"
HV,"(33.88461538461539, 130.46153846153845)","(34.15384615384615, 130.76923076923077)"
HW,"(33.88461538461539, 130.76923076923077)","(34.15384615384615, 131.07692307692307)"
HX,"(33.88461538461539, 131.07692307692307)","(34.15384615384615, 131.3846153846154)"
HY,"(33.88461538461539, 131.3846153846154)","(34.15384615384615, 131.69230769230768)"
HZ,"(33.88461538461539, 131.69230769230768)","(34.15384615384615, 132.0)"
IA,"(34.15384615384615, 124.0)","(34.42307692307692, 124.3076923076923)"
IB,"(34.15384615384615, 124.3076923076923)","(34.42307692307692, 124.61538461538461)"
IC,"(34.15384615384615, 124.61538461538461)","(34.42307692307692, 124.92307692307692)"
ID,"(34.15384615384615, 124.92307692307692)","(34.42307692307692, 125.23076923076923)"
IE,"(34.15384615384615, 125.23076923076923)","(34.42307692307692, 125.53846153846153)"
IF,"(34.15384615384615, 125.53846153846153)","(34.42307692307692, 125.84615384615384)"
IG,"(34.15384615384615, 125.84615384615384)","(34.42307692307692, 126.15384615384616)"
IH,"(34.15384615384615, 126.15384615384616)","(34.42307692307692, 126.46153846153847)"
II,"(34.15384615384615, 126.46153846153847)","(34.42307692307692, 126.76923076923077)"
IJ,"(34.15384615384615, 126.76923076923077)","(34.42307692307692, 127.07692307692308)"
IK,"(34.15384615384615, 127.07692307692308)","(34.42307692307692, 127.38461538461539)"
IL,"(34.15384615384615, 127.38461538461539)","(34.42307692307692, 127.6923076923077)"
IM,"(34.15384615384615, 127.6923076923077)","(34.42307692307692, 128.0)"
IN,"(34.15384615384615, 128.0)","(34.42307692307692, 128.30769230769232)"
IO,"(34.15384615384615, 128.30769230769232)","(34.42307692307692, 128.6153846153846)"
IP,"(34.15384615384615, 128.6153846153846)","(34.42307692307692, 128.92307692307693)"
IQ,"(34.15384615384615, 128.92307692307693)","(34.42307692307692, 129.23076923076923)"
IR,"(34.15384615384615, 129.23076923076923)","(34.42307692307692, 129.53846153846155)"
IS,"(34.15384615384615, 129.53846153846155)","(34.42307692307692, 129.84615384615384)"
IT,"(34.15384615384615, 129.84615384615384)","(34.42307692307692, 130.15384615384616)"
IU,"(34.15384615384615, 130.15384615384616)","(34.42307692307692, 130.46153846153845)"
IV,"(34.15384615384615, 130.46153846153845)","(34.42307692307692, 130.76923076923077)"
IW,"(34.15384615384615, 130.76923076923077)","(34.42307692307692, 131.07692307692307)"
IX,"(34.15384615384615, 131.07692307692307)","(34.42307692307692, 131.3846153846154)"
IY,"(34.15384615384615, 131.3846153846154)","(34.42307692307692, 131.69230769230768)"
IZ,"(34.15384615384615, 131.69230769230768)","(34.42307692307692, 132.0)"
JA,"(34.42307692307692, 124.0)","(34.69230769230769, 124.3076923076923)"
JB,"(34.42307692307692, 124.3076923076923)","(34.69230769230769, 124.61538461538461)"
JC,"(34.42307692307692, 124.61538461538461)","(34.69230769230769, 124.92307692307692)"
JD,"(34.42307692307692, 124.92307692307692)","(34.69230769230769, 125.23076923076923)"
JE,"(34.42307692307692, 125.23076923076923)","(34.69230769230769, 125.53846153846153)"
JF,"(34.42307692307692, 125.53846153846153)","(34.69230769230769, 125.84615384615384)"
JG,"(34.42307692307692, 125.84615384615384)","(34.69230769230769, 126.15384615384616)"
JH,"(34.42307692307692, 126.15384615384616)","(34.69230769230769, 126.46153846153847)"
JI,"(34.42307692307692, 126.46153846153847)","(34.69230769230769, 126.76923076923077)"
JJ,"(34.42307692307692, 126.76923076923077)","(34.69230769230769, 127.07692307692308)"
JK,"(34.42307692307692, 127.07692307692308)","(34.69230769230769, 127.38461538461539)"
JL,"(34.42307692307692, 127.38461538461539)","(34.69230769230769, 127.6923076923077)"
JM,"(34.42307692307692, 127.6923076923077)","(34.69230769230769, 128.0)"
JN,"(34.42307692307692, 128.0)","(34.69230769230769, 128.30769230769232)"
JO,"(34.42307692307692, 128.30769230769232)","(34.69230769230769, 128.6153846153846)"
JP,"(34.42307692307692, 128.6153846153846)","(34.69230769230769, 128.92307692307693)"
JQ,"(34.42307692307692, 128.92307692307693)","(34.69230769230769, 129.23076923076923)"
JR,"(34.42307692307692, 129.23076923076923)","(34.69230769230769, 129.53846153846155)"
JS,"(34.42307692307692, 129.53846153846155)","(34.69230769230769, 129.84615384615384)"
JT,"(34.42307692307692, 129.84615384615384)","(34.69230769230769, 130.15384615384616)"
JU,"(34.42307692307692, 130.15384615384616)","(34.69230769230769, 130.46153846153845)"
JV,"(34.42307692307692, 130.46153846153845)","(34.69230769230769, 130.76923076923077)"
JW,"(34.42307692307692, 130.76923076923077)","(34.69230769230769, 131.07692307692307)"
JX,"(34.42307692307692, 131.07692307692307)","(34.69230769230769, 131.3846153846154)"
JY,"(34.42307692307692, 131.3846153846154)","(34.69230769230769, 131.69230769230768)"
JZ,"(34.42307692307692, 131.69230769230768)","(34.69230769230769, 132.0)"
KA,"(34.69230769230769, 124.0)","(34.96153846153846, 124.3076923076923)"
KB,"(34.69230769230769, 124.3076923076923)","(34.96153846153846, 124.61538461538461)"
KC,"(34.69230769230769, 124.61538461538461)","(34.96153846153846, 124.92307692307692)"
KD,"(34.69230769230769, 124.92307692307692)","(34.96153846153846, 125.23076923076923)"
KE,"(34.69230769230769, 125.23076923076923)","(34.96153846153846, 125.53846153846153)"
KF,"(34.69230769230769, 125.53846153846153)","(34.96153846153846, 125.84615384615384)"
KG,"(34.69230769230769, 125.84615384615384)","(34.96153846153846, 126.15384615384616)"
KH,"(34.69230769230769, 126.15384615384616)","(34.96153846153846, 126.46153846153847)"
KI,"(34.69230769230769, 126.46153846153847)","(34.96153846153846, 126.76923076923077)"
KJ,"(34.69230769230769, 126.76923076923077)","(34.96153846153846, 127.07692307692308)"
KK,"(34.69230769230769, 127.07692307692308)","(34.96153846153846, 127.38461538461539)"
KL,"(34.69230769230769, 127.38461538461539)","(34.96153846153846, 127.6923076923077)"
KM,"(34.69230769230769, 127.6923076923077)","(34.96153846153846, 128.0)"
KN,"(34.69230769230769, 128.0)","(34.96153846153846, 128.30769230769232)"
KO,"(34.69230769230769, 128.30769230769232)","(34.96153846153846, 128.6153846153846)"
KP,"(34.69230769230769, 128.6153846153846)","(34.96153846153846, 128.92307692307693)"
KQ,"(34.69230769230769, 128.92307692307693)","(34.96153846153846, 129.23076923076923)"
KR,"(34.69230769230769, 129.23076923076923)","(34.96153846153846, 129.53846153846155)"
KS,"(34.69230769230769, 129.53846153846155)","(34.96153846153846, 129.84615384615384)"
KT,"(34.69230769230769, 129.84615384615384)","(34.96153846153846, 130.15384615384616)"
KU,"(34.69230769230769, 130.15384615384616)","(34.96153846153846, 130.46153846153845)"
KV,"(34.69230769230769, 130.46153846153845)","(34.96153846153846, 130.76923076923077)"
KW,"(34.69230769230769, 130.76923076923077)","(34.96153846153846, 131.07692307692307)"
KX,"(34.69230769230769, 131.07692307692307)","(34.96153846153846, 131.3846153846154)"
KY,"(34.69230769230769, 131.3846153846154)","(34.96153846153846, 131.69230769230768)"
KZ,"(34.69230769230769, 131.69230769230768)","(34.96153846153846, 132.0)"
LA,"(34.96153846153846, 124.0)","(35.23076923076923, 124.3076923076923)"
LB,"(34.96153846153846, 124.3076923076923)","(35.23076923076923, 124.61538461538461)"
LC,"(34.96153846153846, 124.61538461538461)","(35.23076923076923, 124.92307692307692)"
LD,"(34.96153846153846, 124.92307692307692)","(35.23076923076923, 125.23076923076923)"
LE,"(34.96153846153846, 125.23076923076923)","(35.23076923076923, 125.53846153846153)"
LF,"(34.96153846153846, 125.53846153846153)","(35.23076923076923, 125.84615384615384)"
LG,"(34.96153846153846, 125.84615384615384)","(35.23076923076923, 126.15384615384616)"
LH,"(34.96153846153846, 126.15384615384616)","(35.23076923076923, 126.46153846153847)"
LI,"(34.96153846153846, 126.46153846153847)","(35.23076923076923, 126.76923076923077)"
LJ,"(34.96153846153846, 126.76923076923077)","(35.23076923076923, 127.07692307692308)"
LK,"(34.96153846153846, 127.07692307692308)","(35.23076923076923, 127.38461538461539)"
LL,"(34.96153846153846, 127.38461538461539)","(35.23076923076923, 127.6923076923077)"
LM,"(34.96153846153846, 127.6923076923077)","(35.23076923076923, 128.0)"
LN,"(34.96153846153846, 128.0)","(35.23076923076923, 128.30769230769232)"
LO,"(34.96153846153846, 128.30769230769232)","(35.23076923076923, 128.6153846153846)"
LP,"(34.96153846153846, 128.6153846153846)","(35.23076923076923, 128.92307692307693)"
LQ,"(34.96153846153846, 128.92307692307693)","(35.23076923076923, 129.23076923076923)"
LR,"(34.96153846153846, 129.23076923076923)","(35.23076923076923, 129.53846153846155)"
LS,"(34.96153846153846, 129.53846153846155)","(35.23076923076923, 129.84615384615384)"
LT,"(34.96153846153846, 129.84615384615384)","(35.23076923076923, 130.15384615384616)"
LU,"(34.96153846153846, 130.15384615384616)","(35.23076923076923, 130.46153846153845)"
LV,"(34.96153846153846, 130.46153846153845)","(35.23076923076923, 130.76923076923077)"
LW,"(34.96153846153846, 130.76923076923077)","(35.23076923076923, 131.07692307692307)"
LX,"(34.96153846153846, 131.07692307692307)","(35.23076923076923, 131.3846153846154)"
LY,"(34.96153846153846, 131.3846153846154)","(35.23076923076923, 131.69230769230768)"
LZ,"(34.96153846153846, 131.69230769230768)","(35.23076923076923, 132.0)"
MA,"(35.23076923076923, 124.0)","(35.5, 124.3076923076923)"
MB,"(35.23076923076923, 124.3076923076923)","(35.5, 124.61538461538461)"
MC,"(35.23076923076923, 124.61538461538461)","(35.5, 124.92307692307692)"
MD,"(35.23076923076923, 124.92307692307692)","(35.5, 125.23076923076923)"
ME,"(35.23076923076923, 125.23076923076923)","(35.5, 125.53846153846153)"
MF,"(35.23076923076923, 125.53846153846153)","(35.5, 125.84615384615384)"
MG,"(35.23076923076923, 125.84615384615384)","(35.5, 126.15384615384616)"
MH,"(35.23076923076923, 126.15384615384616)","(35.5, 126.46153846153847)"
MI,"(35.23076923076923, 126.46153846153847)","(35.5, 126.76923076923077)"
MJ,"(35.23076923076923, 126.76923076923077)","(35.5, 127.07692307692308)"
MK,"(35.23076923076923, 127.07692307692308)","(35.5, 127.38461538461539)"
ML,"(35.23076923076923, 127.38461538461539)","(35.5, 127.6923076923077)"
MM,"(35.23076923076923, 127.6923076923077)","(35.5, 128.0)"
MN,"(35.23076923076923, 128.0)","(35.5, 128.30769230769232)"
MO,"(35.23076923076923, 128.30769230769232)","(35.5, 128.6153846153846)"
MP,"(35.23076923076923, 128.6153846153846)","(35.5, 128.92307692307693)"
MQ,"(35.23076923076923, 128.92307692307693)","(35.5, 129.23076923076923)"
MR,"(35.23076923076923, 129.23076923076923)","(35.5, 129.53846153846155)"
MS,"(35.23076923076923, 129.53846153846155)","(35.5, 129.84615384615384)"
MT,"(35.23076923076923, 129.84615384615384)","(35.5, 130.15384615384616)"
